,Channel A Last (V),Channel B Last (V)
1670339061,1.011,0.081
1670339061,1.009,0.087
1670339061,1.011,0.076
1670339061,1.011,0.08
1670339061,1.007,0.08
1670339061,1.011,0.081
1670339061,1.01,0.07
1670339061,1.012,0.067
1670339061,1.012,0.084
1670339061,1.012,0.082
1670339061,1.01,0.076
1670339061,1.011,0.073
1670339062,1.011,0.082
1670339062,1.009,0.079
1670339062,1.011,0.088
1670339062,1.01,0.079
1670339062,1.017,0.066
1670339062,1.012,0.079
1670339062,1.014,0.083
1670339062,1.01,0.086
1670339062,1.006,0.075
1670339062,1.008,0.079
1670339062,1.009,0.074
1670339062,1.012,0.089
1670339062,1.01,0.089
1670339062,1.011,0.077
1670339062,1.01,0.076
1670339062,1.009,0.082
1670339062,1.013,0.079
1670339062,1.011,0.079
1670339062,1.014,0.083
1670339062,1.012,0.081
1670339063,1.011,0.076
1670339063,1.011,0.076
1670339063,1.012,0.073
1670339063,1.01,0.086
1670339063,1.01,0.084
1670339063,1.009,0.073
1670339063,1.012,0.082
1670339063,1.008,0.076
1670339063,1.01,0.08
1670339063,1.013,0.083
1670339063,1.011,0.082
1670339063,1.01,0.078
1670339063,1.014,0.079
1670339063,1.01,0.086
1670339063,1.007,0.07
1670339063,1.013,0.075
1670339063,1.008,0.087
1670339063,1.01,0.076
1670339063,1.012,0.077
1670339063,1.01,0.087
1670339064,1.009,0.084
1670339064,1.008,0.077
1670339064,1.009,0.085
1670339064,1.01,0.082
1670339064,1.01,0.07
1670339064,1.012,0.076
1670339064,1.015,0.077
1670339064,1.008,0.078
1670339064,1.011,0.079
1670339064,1.011,0.082
1670339064,1.008,0.072
1670339064,1.011,0.081
1670339064,1.013,0.084
1670339064,1.011,0.081
1670339064,1.01,0.079
1670339064,1.008,0.082
1670339064,1.01,0.076
1670339064,1.01,0.078
1670339064,1.009,0.07
1670339064,1.01,0.073
1670339065,1.01,0.084
1670339065,1.011,0.08
1670339065,1.01,0.083
1670339065,1.009,0.076
1670339065,1.012,0.086
1670339065,1.013,0.069
1670339065,1.01,0.083
1670339065,1.006,0.078
1670339065,1.012,0.088
1670339065,1.008,0.075
1670339065,1.008,0.076
1670339065,1.012,0.07
1670339065,1.012,0.079
1670339065,1.008,0.079
1670339065,1.011,0.077
1670339065,1.01,0.08
1670339065,1.01,0.08
1670339065,1.013,0.084
1670339065,1.012,0.078
1670339065,1.013,0.08
1670339066,1.009,0.075
1670339066,1.012,0.078
1670339066,1.01,0.088
1670339066,1.008,0.082
1670339066,1.009,0.074
1670339066,1.009,0.075
1670339066,1.01,0.088
1670339066,1.01,0.075
1670339066,1.014,0.08
1670339066,1.009,0.085
1670339066,1.011,0.074
1670339066,1.011,0.086
1670339066,1.009,0.075
1670339066,1.008,0.077
1670339066,1.009,0.076
1670339066,1.012,0.079
1670339066,1.01,0.08
1670339066,1.013,0.077
1670339066,1.013,0.084
