Temps,Channel A Last (V),Channel B Last (V)
1670856913,1.015,0.092
1670856913,1.016,0.09
1670856914,1.015,0.092
1670856914,1.013,0.092
1670856914,1.014,0.093
1670856914,1.016,0.103
1670856914,1.017,0.09
1670856914,1.015,0.093
1670856914,1.015,0.095
1670856914,1.013,0.1
1670856914,1.017,0.099
1670856914,1.015,0.092
1670856914,1.014,0.095
1670856914,1.013,0.099
1670856914,1.016,0.093
1670856914,1.014,0.098
1670856914,1.015,0.097
1670856914,1.015,0.094
1670856914,1.015,0.095
1670856914,1.018,0.093
1670856914,1.017,0.086
1670856914,1.011,0.095
1670856915,1.014,0.091
1670856915,1.014,0.094
1670856915,1.019,0.088
1670856915,1.018,0.085
1670856915,1.016,0.086
1670856915,1.013,0.083
1670856915,1.016,0.092
1670856915,1.016,0.088
1670856915,1.015,0.096
1670856915,1.012,0.097
1670856915,1.015,0.089
1670856915,1.014,0.092
1670856915,1.014,0.097
1670856915,1.013,0.096
1670856915,1.012,0.094
1670856915,1.014,0.092
1670856915,1.017,0.099
1670856915,1.013,0.088
1670856915,1.014,0.098
1670856915,1.016,0.091
1670856916,1.013,0.105
1670856916,1.015,0.091
1670856916,1.016,0.089
1670856916,1.014,0.091
1670856916,1.017,0.091
1670856916,1.014,0.089
1670856916,1.017,0.091
1670856916,1.013,0.096
1670856916,1.017,0.088
1670856916,1.016,0.087
1670856916,1.013,0.098
1670856916,1.014,0.102
1670856916,1.017,0.086
1670856916,1.012,0.091
1670856916,1.012,0.092
1670856916,1.017,0.089
1670856916,1.016,0.097
1670856916,1.015,0.096
1670856916,1.014,0.094
1670856916,1.017,0.093
1670856917,1.015,0.1
1670856917,1.017,0.086
1670856917,1.014,0.09
1670856917,1.011,0.096
1670856917,1.017,0.093
1670856917,1.012,0.081
1670856917,1.012,0.094
1670856917,1.013,0.093
1670856917,1.013,0.096
1670856917,1.017,0.09
1670856917,1.015,0.086
1670856917,1.015,0.096
1670856917,1.016,0.099
1670856917,1.015,0.099
1670856917,1.017,0.087
1670856917,1.012,0.095
1670856917,1.013,0.094
1670856917,1.013,0.09
1670856917,1.015,0.099
1670856917,1.013,0.094
1670856918,1.013,0.099
1670856918,1.015,0.094
1670856918,1.015,0.097
1670856918,1.016,0.091
1670856918,1.018,0.091
1670856918,1.017,0.101
1670856918,1.014,0.093
1670856918,1.014,0.093
1670856918,1.014,0.091
1670856918,1.014,0.093
1670856918,1.018,0.091
1670856918,1.017,0.086
1670856918,1.015,0.101
1670856918,1.016,0.089
1670856918,1.014,0.095
1670856918,1.015,0.092
1670856918,1.016,0.091
1670856918,1.014,0.094
1670856918,1.015,0.099
1670856918,1.016,0.103
1670856919,1.015,0.089
1670856919,1.018,0.097
1670856919,1.014,0.09
1670856919,1.016,0.086
1670856919,1.015,0.092
1670856919,1.015,0.089
1670856919,1.015,0.089
1670856919,1.015,0.101
1670856919,1.016,0.093
1670856919,1.017,0.094
1670856919,1.016,0.09
1670856919,1.018,0.098
1670856919,1.015,0.087
1670856919,1.018,0.095
1670856919,1.016,0.094
1670856919,1.015,0.093
1670856919,1.015,0.103
1670856919,1.014,0.105
1670856919,1.014,0.098
1670856919,1.016,0.099
1670856920,1.016,0.083
1670856920,1.016,0.096
1670856920,1.013,0.094
1670856920,1.015,0.097
1670856920,1.016,0.095
1670856920,1.016,0.087
1670856920,1.015,0.095
1670856920,1.017,0.089
1670856920,1.012,0.101
1670856920,1.016,0.094
1670856920,1.014,0.095
1670856920,1.015,0.091
1670856920,1.015,0.087
1670856920,1.019,0.101
1670856920,1.015,0.095
1670856920,1.017,0.096
1670856920,1.015,0.095
1670856920,1.013,0.092
1670856920,1.014,0.092
1670856920,1.016,0.09
1670856921,1.014,0.091
1670856921,1.015,0.092
1670856921,1.015,0.091
1670856921,1.011,0.089
1670856921,1.016,0.091
1670856921,1.016,0.087
1670856921,1.014,0.1
1670856921,1.019,0.083
1670856921,1.016,0.09
1670856921,1.017,0.093
1670856921,1.015,0.094
1670856921,1.016,0.093
1670856921,1.014,0.096
1670856921,1.013,0.094
1670856921,1.015,0.09
1670856921,1.015,0.089
1670856921,1.014,0.089
1670856921,1.015,0.095
1670856921,1.016,0.096
1670856921,1.016,0.093
1670856922,1.015,0.097
1670856922,1.015,0.09
1670856922,1.015,0.097
1670856922,1.012,0.094
1670856922,1.015,0.093
1670856922,1.016,0.089
1670856922,1.014,0.091
1670856922,1.014,0.098
1670856922,1.019,0.094
1670856922,1.014,0.09
1670856922,1.014,0.088
1670856922,1.018,0.094
1670856922,1.015,0.096
1670856922,1.016,0.089
1670856922,1.016,0.096
1670856922,1.015,0.085
1670856922,1.018,0.09
1670856922,1.015,0.096
1670856922,1.014,0.099
1670856922,1.014,0.093
1670856923,1.015,0.09
1670856923,1.011,0.095
1670856923,1.013,0.1
1670856923,1.016,0.096
1670856923,1.014,0.101
1670856923,1.015,0.099
1670856923,1.016,0.083
1670856923,1.016,0.094
1670856923,1.015,0.086
1670856923,1.016,0.102
1670856923,1.014,0.092
1670856923,1.014,0.095
1670856923,1.013,0.087
1670856923,1.017,0.1
1670856923,1.015,0.09
1670856923,1.013,0.088
1670856923,1.016,0.095
1670856923,1.013,0.093
1670856923,1.015,0.083
1670856923,1.019,0.097
1670856924,1.015,0.092
1670856924,1.016,0.089
1670856924,1.016,0.084
1670856924,1.014,0.095
1670856924,1.014,0.083
1670856924,1.017,0.094
1670856924,1.015,0.094
1670856924,1.018,0.09
1670856924,1.017,0.102
1670856924,1.015,0.1
1670856924,1.013,0.092
1670856924,1.013,0.084
1670856924,1.014,0.092
