,Channel A Last (V),Channel B Last (V)
1677060658,,
1677060659,,
1677060659,,
1677060659,,
1677060659,,
1677060659,,
1677060659,1.041,0.136
1677060659,1.039,0.13
1677060659,1.043,0.134
1677060659,1.039,0.129
1677060659,1.039,0.137
1677060659,1.04,0.132
1677060659,1.04,0.128
1677060659,1.038,0.131
1677060659,1.038,0.125
1677060659,1.041,0.135
1677060659,1.04,0.129
1677060659,1.038,0.127
1677060659,1.042,0.138
1677060659,1.04,0.119
1677060659,1.041,0.128
1677060660,1.041,0.133
1677060660,1.038,0.121
1677060660,1.036,0.124
1677060660,1.04,0.128
1677060660,1.041,0.132
1677060660,1.039,0.126
1677060660,1.04,0.152
1677060660,1.038,0.126
1677060660,1.039,0.133
1677060660,1.038,0.131
1677060660,1.038,0.129
1677060660,1.038,0.132
1677060660,1.042,0.132
1677060660,1.039,0.132
1677060660,1.038,0.131
1677060660,1.041,0.131
1677060660,1.039,0.131
1677060660,1.042,0.138
1677060660,1.04,0.128
1677060660,1.037,0.129
1677060661,1.04,0.127
1677060661,1.039,0.127
1677060661,1.04,0.127
1677060661,1.038,0.128
1677060661,1.039,0.132
1677060661,1.037,0.128
1677060661,1.04,0.135
1677060661,1.037,0.126
1677060661,1.036,0.133
1677060661,1.039,0.123
1677060661,1.04,0.13
1677060661,1.041,0.135
1677060661,1.038,0.13
1677060661,1.04,0.126
1677060661,1.043,0.126
1677060661,1.037,0.128
1677060661,1.037,0.128
1677060661,1.037,0.127
1677060661,1.041,0.131
1677060661,1.04,0.131
1677060662,1.039,0.124
1677060662,1.038,0.12
1677060662,1.04,0.12
1677060662,1.039,0.142
1677060662,1.039,0.126
1677060662,1.042,0.133
1677060662,1.038,0.13
1677060662,1.044,0.136
1677060662,1.038,0.119
1677060662,1.038,0.128
1677060662,1.036,0.127
1677060662,1.039,0.128
1677060662,1.035,0.126
1677060662,1.037,0.129
1677060662,1.038,0.126
1677060662,1.038,0.128
1677060662,1.037,0.137
1677060662,1.038,0.123
1677060662,1.038,0.125
1677060662,1.038,0.136
1677060663,1.039,0.126
1677060663,1.04,0.131
1677060663,1.043,0.132
1677060663,1.038,0.127
1677060663,1.039,0.121
1677060663,1.037,0.133
1677060663,1.038,0.136
1677060663,1.041,0.132
1677060663,1.038,0.131
1677060663,1.039,0.128
1677060663,1.042,0.128
1677060663,1.04,0.131
1677060663,1.039,0.128
1677060663,1.04,0.133
1677060663,1.039,0.126
1677060663,1.039,0.127
1677060663,1.038,0.13
1677060663,1.037,0.128
1677060663,1.038,0.122
1677060663,1.038,0.122
1677060664,1.039,0.131
1677060664,1.037,0.125
1677060664,1.039,0.126
1677060664,1.037,0.137
1677060664,1.039,0.127
1677060664,1.038,0.133
1677060664,1.037,0.125
1677060664,1.04,0.124
1677060664,1.033,0.118
1677060664,1.039,0.126
1677060664,1.038,0.126
1677060664,1.039,0.125
1677060664,1.039,0.127
1677060664,1.038,0.129
1677060664,1.038,0.129
1677060664,1.039,0.13
1677060664,1.039,0.124
1677060664,1.039,0.128
1677060664,1.04,0.133
1677060664,1.041,0.124
1677060665,1.04,0.125
1677060665,1.035,0.126
1677060665,1.04,0.128
1677060665,1.038,0.127
1677060665,1.037,0.132
1677060665,1.038,0.127
1677060665,1.042,0.132
1677060665,1.042,0.127
1677060665,1.04,0.132
1677060665,1.037,0.129
1677060665,1.039,0.124
1677060665,1.037,0.13
1677060665,1.04,0.132
1677060665,1.039,0.133
1677060665,1.037,0.129
1677060665,1.041,0.133
1677060665,1.037,0.133
1677060665,1.038,0.133
1677060665,1.038,0.13
1677060665,1.038,0.123
1677060666,1.037,0.126
1677060666,1.036,0.132
