Time,Channel A Last (V),Channel B Last (V)
1681203283,0.996,0.06
1681203283,0.997,0.067
1681203283,1.001,0.07
1681203283,0.999,0.066
1681203283,1,0.059
1681203283,1,0.064
1681203283,0.995,0.059
1681203283,0.999,0.068
1681203283,0.996,0.052
1681203283,0.999,0.059
1681203284,0.998,0.069
1681203284,1.002,0.062
1681203284,0.999,0.058
1681203284,1,0.062
1681203284,0.997,0.062
1681203284,0.996,0.06
1681203284,0.999,0.064
1681203284,1.002,0.062
1681203284,0.996,0.056
1681203284,0.997,0.06
1681203284,1,0.064
1681203284,1.001,0.061
1681203284,0.996,0.059
1681203284,0.997,0.066
1681203284,0.999,0.062
1681203284,0.997,0.066
1681203284,0.997,0.067
1681203284,1,0.066
1681203284,0.999,0.061
1681203284,0.999,0.063
1681203285,0.999,0.062
1681203285,0.999,0.061
1681203285,0.997,0.064
1681203285,1,0.062
1681203285,1,0.055
1681203285,0.997,0.06
1681203285,0.997,0.07
1681203285,0.998,0.066
1681203285,0.997,0.064
1681203285,0.999,0.053
1681203285,0.998,0.064
1681203285,0.999,0.061
1681203285,1.001,0.063
1681203285,0.999,0.065
1681203285,1.002,0.062
1681203285,1.003,0.057
1681203285,0.998,0.055
1681203285,1.003,0.065
1681203285,1.001,0.075
1681203285,1,0.06
1681203286,0.999,0.067
1681203286,0.997,0.063
1681203286,1.001,0.061
1681203286,1.001,0.057
1681203286,1.001,0.065
1681203286,1,0.064
1681203286,0.997,0.068
1681203286,1.001,0.059
1681203286,1.001,0.066
1681203286,1.003,0.06
1681203286,0.997,0.065
1681203286,1.001,0.058
1681203286,1,0.063
1681203286,1,0.06
1681203286,1.001,0.064
1681203286,0.999,0.066
1681203286,0.999,0.055
1681203286,0.997,0.065
1681203286,0.999,0.054
1681203286,0.998,0.067
1681203287,1.001,0.063
1681203287,0.996,0.058
1681203287,0.998,0.059
1681203287,0.997,0.066
1681203287,0.997,0.065
1681203287,1.002,0.069
1681203287,0.998,0.062
1681203287,0.999,0.061
1681203287,0.997,0.064
1681203287,0.998,0.066
1681203287,1.001,0.056
1681203287,1.003,0.063
1681203287,1.002,0.059
1681203287,0.999,0.06
1681203287,0.998,0.068
1681203287,1.001,0.067
1681203287,0.999,0.062
1681203287,0.999,0.069
1681203287,1,0.068
1681203287,0.999,0.062
1681203288,1,0.056
1681203288,1,0.063
1681203288,0.996,0.071
1681203288,0.996,0.055
1681203288,0.998,0.06
1681203288,0.999,0.06
1681203288,0.995,0.064
1681203288,0.997,0.065
1681203288,0.998,0.059
1681203288,0.993,0.065
1681203288,0.994,0.06
1681203288,0.999,0.064
1681203288,0.997,0.069
1681203288,0.997,0.066
1681203288,0.996,0.06
1681203288,0.998,0.058
1681203288,0.998,0.072
1681203288,0.998,0.068
1681203288,0.999,0.06
1681203288,0.996,0.066
1681203289,0.999,0.069
1681203289,0.995,0.061
1681203289,0.998,0.059
1681203289,0.996,0.067
1681203289,0.997,0.067
1681203289,0.996,0.054
1681203289,0.997,0.075
1681203289,1,0.063
1681203289,0.998,0.065
1681203289,0.997,0.055
1681203289,0.997,0.063
1681203289,0.996,0.068
1681203289,0.999,0.067
1681203289,0.999,0.056
1681203289,0.997,0.052
1681203289,1,0.07
1681203289,0.999,0.061
1681203289,0.998,0.061
1681203289,0.998,0.068
1681203289,0.999,0.061
1681203290,1.001,0.067
1681203290,0.997,0.059
1681203290,0.996,0.064
1681203290,1.002,0.062
1681203290,0.996,0.057
1681203290,0.999,0.06
1681203290,1,0.063
1681203290,0.997,0.069
1681203290,0.997,0.073
1681203290,0.997,0.064
1681203290,0.997,0.054
1681203290,0.998,0.054
1681203290,0.997,0.063
1681203290,1.002,0.064
1681203290,1,0.065
1681203290,0.998,0.06
1681203290,1,0.062
1681203290,1,0.064
1681203290,1,0.06
1681203290,0.995,0.065
1681203291,0.999,0.062
1681203291,0.999,0.06
1681203291,0.998,0.066
1681203291,0.996,0.071
1681203291,0.998,0.058
1681203291,1,0.064
1681203291,0.999,0.068
1681203291,0.983,0.061
1681203291,0.999,0.076
1681203291,1.002,0.068
1681203291,0.999,0.069
1681203291,0.998,0.068
1681203291,1.002,0.058
1681203291,1,0.072
1681203291,0.997,0.069
1681203291,0.997,0.065
1681203291,0.996,0.064
1681203291,0.998,0.06
1681203291,0.999,0.056
1681203291,1,0.071
1681203292,0.999,0.061
1681203292,0.999,0.063
1681203292,1,0.059
1681203292,0.999,0.061
1681203292,0.998,0.064
1681203292,0.998,0.051
1681203292,0.995,0.076
1681203292,0.999,0.058
1681203292,0.997,0.059
1681203292,1,0.069
1681203292,1,0.07
1681203292,0.998,0.065
1681203292,1,0.062
1681203292,1.002,0.06
1681203292,1,0.062
1681203292,1.001,0.057
1681203292,0.998,0.063
1681203292,0.998,0.06
1681203292,0.997,0.073
1681203292,0.999,0.059
1681203293,0.998,0.071
1681203293,0.998,0.056
1681203293,0.999,0.055
1681203293,0.994,0.065
1681203293,0.998,0.07
1681203293,0.998,0.069
1681203293,0.999,0.064
1681203293,0.998,0.07
1681203293,1.001,0.064
1681203293,0.998,0.059
1681203293,0.998,0.075
1681203293,0.998,0.063
1681203293,0.998,0.059
1681203293,0.997,0.066
1681203293,0.997,0.066
1681203293,1,0.066
1681203293,1,0.061
1681203293,1.001,0.067
1681203293,0.999,0.059
1681203293,0.999,0.066
1681203294,1,0.066
1681203294,0.997,0.064
1681203294,0.996,0.06
1681203294,0.997,0.054
1681203294,1,0.069
1681203294,0.998,0.069
1681203294,0.999,0.061
1681203294,1.001,0.06
