time,Channel A Last (V),Channel B Last (V)
1681199900,1.036,0.118
1681199900,1.042,0.133
1681199900,1.039,0.13
1681199900,1.041,0.129
1681199900,1.04,0.12
1681199900,1.038,0.119
1681199900,1.035,0.125
1681199900,1.039,0.118
1681199900,1.042,0.128
1681199900,1.042,0.126
1681199900,1.037,0.117
1681199900,1.04,0.126
1681199900,1.039,0.135
1681199901,1.041,0.13
1681199901,1.04,0.128
1681199901,1.038,0.125
1681199901,1.037,0.126
1681199901,1.04,0.116
1681199901,1.04,0.133
1681199901,1.04,0.125
1681199901,1.039,0.122
1681199901,1.04,0.121
1681199901,1.038,0.123
1681199901,1.042,0.13
1681199901,1.038,0.123
1681199901,1.04,0.128
1681199901,1.04,0.133
1681199901,1.037,0.117
1681199901,1.041,0.12
1681199901,1.038,0.131
1681199901,1.04,0.128
1681199901,1.04,0.127
1681199901,1.039,0.133
1681199902,1.041,0.119
1681199902,1.038,0.125
1681199902,1.04,0.123
1681199902,1.039,0.126
1681199902,1.036,0.128
1681199902,1.038,0.128
1681199902,1.041,0.13
1681199902,1.039,0.126
1681199902,1.04,0.126
1681199902,1.039,0.12
1681199902,1.04,0.125
1681199902,1.038,0.121
1681199902,1.04,0.126
1681199902,1.037,0.128
1681199902,1.039,0.124
1681199902,1.04,0.13
1681199902,1.041,0.124
1681199902,1.04,0.117
1681199902,1.04,0.122
1681199902,1.041,0.129
1681199903,1.041,0.126
1681199903,1.043,0.118
1681199903,1.044,0.124
1681199903,1.04,0.12
1681199903,1.04,0.128
1681199903,1.043,0.128
1681199903,1.041,0.127
1681199903,1.039,0.123
1681199903,1.04,0.13
1681199903,1.04,0.126
1681199903,1.039,0.122
1681199903,1.042,0.122
1681199903,1.038,0.124
1681199903,1.042,0.126
1681199903,1.042,0.124
1681199903,1.038,0.125
1681199903,1.037,0.123
1681199903,1.04,0.131
1681199903,1.042,0.133
1681199903,1.038,0.123
1681199904,1.038,0.12
1681199904,1.036,0.127
1681199904,1.038,0.118
1681199904,1.037,0.121
1681199904,1.044,0.12
1681199904,1.038,0.122
1681199904,1.039,0.119
1681199904,1.038,0.124
1681199904,1.039,0.126
1681199904,1.04,0.129
1681199904,1.04,0.127
1681199904,1.038,0.126
1681199904,1.041,0.119
1681199904,1.041,0.122
1681199904,1.038,0.129
1681199904,1.038,0.129
1681199904,1.038,0.128
1681199904,1.039,0.135
1681199904,1.039,0.114
1681199904,1.039,0.125
1681199905,1.036,0.123
1681199905,1.039,0.124
1681199905,1.037,0.125
1681199905,1.039,0.128
1681199905,1.04,0.12
1681199905,1.038,0.12
1681199905,1.036,0.126
1681199905,1.037,0.13
1681199905,1.037,0.127
1681199905,1.04,0.124
1681199905,1.036,0.118
1681199905,1.035,0.125
1681199905,1.038,0.12
1681199905,1.037,0.126
1681199905,1.039,0.131
1681199905,1.036,0.122
1681199905,1.034,0.126
1681199905,1.042,0.124
1681199905,1.041,0.123
1681199905,1.038,0.128
1681199906,1.042,0.124
1681199906,1.04,0.115
