,Channel A Last (V),Channel B Last (V)
1681721888,1.008,0.081
1681721888,1.011,0.078
1681721888,1.009,0.076
1681721888,1.012,0.077
1681721888,1.01,0.072
1681721888,1.012,0.08
1681721888,1.014,0.075
1681721888,1.011,0.083
1681721888,1.014,0.077
1681721888,1.012,0.079
1681721888,1.011,0.072
1681721888,1.012,0.081
1681721888,1.01,0.086
1681721888,1.012,0.067
1681721888,1.014,0.079
1681721888,1.01,0.075
1681721888,1.01,0.081
1681721888,1.013,0.078
1681721888,1.011,0.081
1681721888,1.012,0.08
1681721889,1.01,0.07
1681721889,1.01,0.074
1681721889,1.014,0.072
1681721889,1.01,0.072
1681721889,1.012,0.072
1681721889,1.011,0.074
1681721889,1.011,0.076
1681721889,1.013,0.105
1681721889,1.012,0.077
1681721889,1.009,0.075
1681721889,1.01,0.078
1681721889,1.01,0.077
1681721889,1.011,0.079
1681721889,1.011,0.066
1681721889,1.012,0.077
1681721889,1.01,0.073
1681721889,1.011,0.078
1681721889,1.012,0.087
1681721889,1.007,0.08
1681721889,1.013,0.084
1681721890,1.013,0.076
1681721890,1.012,0.083
1681721890,1.014,0.079
1681721890,1.014,0.082
1681721890,1.012,0.069
1681721890,1.014,0.079
1681721890,1.013,0.079
1681721890,1.012,0.078
1681721890,1.011,0.079
1681721890,1.01,0.079
1681721890,1.007,0.083
1681721890,1.008,0.076
1681721890,1.009,0.078
1681721890,1.008,0.084
1681721890,1.01,0.07
1681721890,1.011,0.079
1681721890,1.011,0.08
1681721890,1.011,0.073
1681721890,1.009,0.077
1681721890,1.009,0.068
1681721891,1.014,0.073
1681721891,1.008,0.074
1681721891,1.011,0.084
1681721891,1.009,0.09
1681721891,1.011,0.081
1681721891,1.012,0.081
1681721891,1.012,0.081
1681721891,1.01,0.077
1681721891,1.012,0.077
1681721891,1.011,0.072
1681721891,1.011,0.076
1681721891,1.008,0.076
1681721891,1.009,0.075
1681721891,1.009,0.083
1681721891,1.013,0.082
1681721891,1.01,0.071
1681721891,1.014,0.07
1681721891,1.012,0.073
1681721891,1.008,0.081
1681721891,1.011,0.066
1681721892,1.012,0.077
1681721892,1.009,0.076
1681721892,1.009,0.077
1681721892,1.012,0.079
1681721892,1.014,0.076
1681721892,1.012,0.087
1681721892,1.009,0.079
1681721892,1.009,0.073
1681721892,1.011,0.079
1681721892,1.01,0.084
1681721892,1.011,0.074
1681721892,1.007,0.077
1681721892,1.011,0.076
1681721892,1.008,0.072
1681721892,1.012,0.085
1681721892,1.012,0.069
1681721892,1.01,0.081
1681721892,1.008,0.076
1681721892,1.011,0.078
1681721892,1.011,0.077
1681721893,1.013,0.086
1681721893,1.012,0.078
1681721893,1.011,0.079
1681721893,1.009,0.074
1681721893,1.012,0.053
1681721893,1.009,0.081
1681721893,1.012,0.076
1681721893,1.01,0.085
1681721893,1.011,0.073
1681721893,1.01,0.081
1681721893,1.012,0.086
1681721893,1.009,0.068
1681721893,1.011,0.069
1681721893,1.012,0.078
1681721893,1.012,0.073
1681721893,1.013,0.078
1681721893,1.009,0.076
1681721893,1.012,0.079
1681721893,1.015,0.079
1681721893,1.007,0.08
1681721894,1.012,0.076
1681721894,1.01,0.079
1681721894,1.012,0.066
1681721894,1.012,0.076
1681721894,1.01,0.06
1681721894,1.009,0.067
1681721894,1.01,0.072
1681721894,1.009,0.078
1681721894,1.009,0.074
1681721894,1.011,0.075
1681721894,1.011,0.081
1681721894,1.012,0.072
1681721894,1.011,0.071
1681721894,1.011,0.078
1681721894,1.01,0.075
1681721894,1.008,0.072
1681721894,1.01,0.078
1681721894,1.01,0.09
1681721894,1.01,0.08
1681721894,1.013,0.074
1681721895,1.012,0.075
1681721895,1.012,0.08
1681721895,1.013,0.069
1681721895,1.012,0.072
1681721895,1.009,0.082
1681721895,0.993,0.071
1681721895,1.008,0.08
1681721895,1.009,0.07
1681721895,1.01,0.067
1681721895,1.007,0.074
1681721895,1.012,0.077
1681721895,1.009,0.074
1681721895,1.008,0.081
1681721895,1.009,0.082
1681721895,1.012,0.083
1681721895,1.012,0.073
1681721895,1.008,0.077
1681721895,1.008,0.074
1681721895,1.009,0.078
1681721895,1.008,0.075
1681721896,1.011,0.077
1681721896,1.009,0.076
1681721896,1.008,0.077
1681721896,1.007,0.084
1681721896,1.011,0.078
1681721896,1.014,0.081
1681721896,1.012,0.08
1681721896,1.014,0.082
1681721896,1.012,0.08
1681721896,1.014,0.075
1681721896,1.013,0.081
1681721896,1.012,0.07
1681721896,1.01,0.077
1681721896,1.009,0.072
