,Channel A Last (V),Channel B Last (V)
1681723185,1.005,0.058
1681723185,1.008,0.06
1681723185,1.008,0.056
1681723185,1.005,0.064
1681723185,1.006,0.075
1681723185,1.008,0.063
1681723185,1.007,0.072
1681723185,1.005,0.072
1681723185,1.008,0.072
1681723185,1.005,0.075
1681723185,1.007,0.064
1681723185,1.006,0.077
1681723185,1.004,0.071
1681723185,1.009,0.07
1681723185,1.005,0.073
1681723185,1.001,0.069
1681723186,1.005,0.063
1681723186,1.004,0.072
1681723186,1.005,0.073
1681723186,1.004,0.07
1681723186,1.005,0.068
1681723186,1.008,0.07
1681723186,1.004,0.074
1681723186,1.007,0.065
1681723186,1.004,0.071
1681723186,1.005,0.063
1681723186,1.009,0.067
1681723186,1.005,0.061
1681723186,1.005,0.073
1681723186,1.007,0.068
1681723186,1.003,0.065
1681723186,1.007,0.073
1681723186,1.007,0.074
1681723186,1.003,0.063
1681723186,1.004,0.073
1681723186,1.004,0.063
1681723187,1.004,0.07
1681723187,1.004,0.068
1681723187,1.005,0.059
1681723187,1.003,0.063
1681723187,1.003,0.066
1681723187,1.003,0.063
1681723187,1.002,0.062
1681723187,1.005,0.069
1681723187,1.007,0.068
1681723187,1.001,0.071
1681723187,1.007,0.07
1681723187,1.007,0.062
1681723187,1.007,0.077
1681723187,1.004,0.076
1681723187,1.005,0.072
1681723187,1.006,0.068
1681723187,1.004,0.07
1681723187,1.002,0.069
1681723187,1.006,0.067
1681723187,1.004,0.064
1681723188,1.006,0.066
1681723188,1.008,0.067
1681723188,1.004,0.059
1681723188,1.001,0.07
1681723188,1.002,0.07
1681723188,1.001,0.063
1681723188,1.005,0.055
1681723188,1.008,0.075
1681723188,1.004,0.063
1681723188,1.005,0.074
1681723188,1.007,0.066
1681723188,1.005,0.07
1681723188,1.005,0.069
1681723188,1.003,0.066
1681723188,1.004,0.07
1681723188,1.003,0.069
1681723188,1.005,0.067
1681723188,1.005,0.071
1681723188,1.007,0.069
1681723188,1.007,0.068
1681723189,1.005,0.066
1681723189,1.001,0.066
1681723189,1.007,0.07
1681723189,1.006,0.063
1681723189,1.006,0.066
1681723189,1.006,0.068
1681723189,1.002,0.065
1681723189,1.008,0.068
1681723189,1.01,0.069
1681723189,1.003,0.065
1681723189,1.002,0.069
1681723189,1.007,0.068
1681723189,1.006,0.061
1681723189,1.003,0.072
1681723189,1.004,0.066
1681723189,1.005,0.06
1681723189,1.005,0.071
1681723189,1.005,0.054
1681723189,1.004,0.07
1681723189,1.008,0.076
1681723190,1.007,0.061
1681723190,1.004,0.061
1681723190,1.007,0.075
1681723190,1.004,0.071
1681723190,1.006,0.065
1681723190,1.004,0.073
1681723190,1.005,0.067
1681723190,1.014,0.074
1681723190,1.004,0.07
1681723190,1.007,0.064
1681723190,1.007,0.071
1681723190,1.004,0.073
1681723190,1.003,0.071
1681723190,1.001,0.068
1681723190,1.008,0.066
1681723190,1.002,0.071
1681723190,1.004,0.075
1681723190,1.004,0.062
1681723190,1.004,0.062
1681723190,1.004,0.072
1681723191,1.005,0.067
1681723191,1.004,0.061
1681723191,1.005,0.069
1681723191,1.007,0.076
1681723191,1.004,0.069
1681723191,1.004,0.063
1681723191,1.007,0.066
1681723191,1.001,0.069
1681723191,1.003,0.07
1681723191,1.005,0.074
1681723191,1.001,0.077
1681723191,1.003,0.068
1681723191,1.006,0.073
1681723191,1.004,0.067
1681723191,1.006,0.073
1681723191,1.007,0.07
1681723191,1.004,0.064
1681723191,1.003,0.069
1681723191,1.007,0.07
1681723191,1.004,0.069
1681723192,1.006,0.058
1681723192,1.003,0.066
1681723192,1.003,0.062
1681723192,1.001,0.07
1681723192,1.006,0.072
1681723192,1.004,0.071
1681723192,1.005,0.066
1681723192,1.004,0.066
1681723192,1.003,0.066
1681723192,1.003,0.065
1681723192,1.004,0.068
1681723192,1.006,0.07
1681723192,1.004,0.07
1681723192,1.004,0.072
1681723192,1.007,0.074
1681723192,1.005,0.07
1681723192,1.008,0.067
1681723192,1.003,0.064
1681723192,0.999,0.071
1681723192,1.003,0.066
1681723193,1.004,0.063
1681723193,1.003,0.068
1681723193,1.003,0.075
1681723193,1,0.074
1681723193,1.005,0.07
1681723193,1.005,0.075
1681723193,1.003,0.079
1681723193,1.003,0.074
1681723193,1.003,0.065
1681723193,1.006,0.066
1681723193,1.007,0.061
1681723193,1.004,0.068
1681723193,1.004,0.068
1681723193,1.006,0.069
1681723193,1.004,0.066
1681723193,1.005,0.065
1681723193,1.001,0.075
1681723193,1.004,0.071
1681723193,1.002,0.066
1681723193,1,0.067
1681723194,1.005,0.074
1681723194,1.002,0.07
1681723194,1.005,0.063
1681723194,1.004,0.063
1681723194,1.004,0.074
1681723194,1.006,0.063
1681723194,1.005,0.075
1681723194,1.007,0.069
1681723194,1.005,0.071
1681723194,1.007,0.067
1681723194,1.003,0.071
1681723194,1.004,0.054
1681723194,1.006,0.062
1681723194,1.004,0.064
1681723194,1.006,0.071
1681723194,1.006,0.067
1681723194,1.004,0.064
1681723194,1.006,0.071
1681723194,1.006,0.075
1681723194,1.006,0.069
1681723195,1.003,0.069
1681723195,1.006,0.07
1681723195,1.005,0.073
1681723195,1.005,0.062
1681723195,1.004,0.069
1681723195,1.001,0.061
1681723195,1.005,0.063
1681723195,1.007,0.07
1681723195,1.009,0.07
1681723195,1.007,0.071
1681723195,1.002,0.066
1681723195,1.005,0.063
1681723195,1.004,0.067
1681723195,1.006,0.07
1681723195,1.006,0.067
1681723195,1.004,0.073
1681723195,1.003,0.064
1681723195,1.004,0.068
1681723195,1.002,0.073
1681723195,1.003,0.066
1681723196,1.003,0.067
1681723196,1.005,0.071
1681723196,1.004,0.067
1681723196,1.005,0.071
1681723196,1.006,0.073
1681723196,1.01,0.075
1681723196,1.004,0.069
1681723196,1.004,0.077
1681723196,1.006,0.067
1681723196,1.006,0.071
1681723196,1.007,0.063
1681723196,1.006,0.076
1681723196,1.003,0.064
1681723196,1.005,0.074
1681723196,1.002,0.07
1681723196,1.005,0.065
1681723196,1.005,0.068
1681723196,1.006,0.067
1681723196,1.003,0.063
1681723196,1.005,0.068
1681723197,1.003,0.069
1681723197,1.004,0.061
1681723197,1.005,0.065
1681723197,1.002,0.067
1681723197,1.005,0.067
1681723197,1.008,0.082
1681723197,1.003,0.073
1681723197,1.005,0.064
