"","Channel A Last (V)","Channel B Last (V)"
"1681223220.608","",""
"1681223220.658","",""
"1681223220.708","",""
"1681223220.758","",""
"1681223220.808","1.025","0.105"
"1681223220.858","1.026","0.106"
"1681223220.908","1.025","0.102"
"1681223220.958","1.022","0.104"
"1681223221.008","1.026","0.106"
"1681223221.058","1.024","0.106"
"1681223221.108","1.023","0.107"
"1681223221.158","1.025","0.102"
"1681223221.208","1.026","0.108"
"1681223221.258","1.026","0.103"
"1681223221.308","1.029","0.104"
"1681223221.358","1.025","0.104"
"1681223221.408","1.027","0.104"
"1681223221.458","1.023","0.107"
"1681223221.508","1.026","0.104"
"1681223221.558","1.023","0.105"
"1681223221.608","1.025","0.103"
"1681223221.658","1.022","0.100"
"1681223221.708","1.026","0.104"
"1681223221.758","1.024","0.102"
"1681223221.808","1.026","0.104"
"1681223221.858","1.026","0.103"
"1681223221.908","1.025","0.105"
"1681223221.958","1.025","0.103"
"1681223222.008","1.025","0.102"
"1681223222.058","1.025","0.105"
"1681223222.108","1.026","0.105"
"1681223222.158","1.028","0.103"
"1681223222.208","1.024","0.106"
"1681223222.258","1.022","0.106"
"1681223222.308","1.023","0.107"
"1681223222.358","1.025","0.104"
"1681223222.408","1.025","0.106"
"1681223222.458","1.023","0.104"
"1681223222.508","1.025","0.103"
"1681223222.558","1.025","0.104"
"1681223222.608","1.023","0.105"
"1681223222.658","1.024","0.106"
"1681223222.708","1.023","0.104"
"1681223222.758","1.026","0.106"
"1681223222.808","1.026","0.102"
"1681223222.858","1.026","0.105"
"1681223222.908","1.024","0.106"
"1681223222.958","1.023","0.103"
"1681223223.008","1.024","0.106"
"1681223223.058","1.026","0.104"
"1681223223.108","1.025","0.106"
"1681223223.158","1.023","0.105"
"1681223223.208","1.024","0.104"
"1681223223.258","1.026","0.101"
"1681223223.308","1.026","0.102"
"1681223223.358","1.025","0.101"
"1681223223.408","1.027","0.105"
"1681223223.458","1.026","0.105"
"1681223223.508","1.024","0.107"
"1681223223.558","1.025","0.102"
"1681223223.608","1.028","0.100"
"1681223223.658","1.024","0.103"
"1681223223.708","1.024","0.105"
"1681223223.758","1.026","0.103"
"1681223223.808","1.023","0.103"
"1681223223.858","1.026","0.108"
"1681223223.908","1.025","0.105"
"1681223223.958","1.026","0.103"
"1681223224.008","1.023","0.100"
"1681223224.058","1.023","0.102"
"1681223224.108","1.025","0.103"
"1681223224.158","1.024","0.104"
"1681223224.208","1.026","0.106"
"1681223224.258","1.025","0.103"
"1681223224.308","1.024","0.103"
"1681223224.358","1.023","0.103"
"1681223224.408","1.025","0.101"
"1681223224.458","1.024","0.102"
"1681223224.508","1.023","0.101"
"1681223224.558","1.023","0.103"
"1681223224.608","1.026","0.103"
"1681223224.658","1.022","0.102"
"1681223224.708","1.024","0.105"
"1681223224.758","1.025","0.101"
"1681223224.808","1.023","0.103"
"1681223224.858","1.024","0.103"
"1681223224.908","1.024","0.107"
"1681223224.958","1.026","0.100"
"1681223225.008","1.024","0.106"
"1681223225.058","1.024","0.101"
"1681223225.108","1.021","0.102"
"1681223225.158","1.027","0.105"
"1681223225.208","1.025","0.105"
"1681223225.258","1.023","0.102"
"1681223225.308","1.023","0.103"
"1681223225.358","1.025","0.105"
"1681223225.408","1.024","0.103"
"1681223225.458","1.027","0.105"
"1681223225.508","1.024","0.106"
"1681223225.558","1.022","0.101"
"1681223225.608","1.024","0.104"
"1681223225.658","1.026","0.104"
"1681223225.708","1.023","0.103"
"1681223225.758","1.024","0.104"
"1681223225.808","1.024","0.105"
"1681223225.858","1.025","0.105"
"1681223225.908","1.025","0.103"
"1681223225.958","1.024","0.100"
"1681223226.008","1.026","0.102"
"1681223226.058","1.023","0.105"
"1681223226.108","1.026","0.102"
"1681223226.158","1.022","0.102"
"1681223226.208","1.022","0.103"
"1681223226.258","1.025","0.102"
"1681223226.308","1.023","0.105"
"1681223226.358","1.024","0.104"
"1681223226.408","1.024","0.102"
"1681223226.458","1.025","0.104"
"1681223226.508","1.021","0.104"
"1681223226.558","1.023","0.102"
"1681223226.608","1.024","0.101"
"1681223226.658","1.025","0.104"
"1681223226.708","1.024","0.105"
"1681223226.758","1.024","0.103"
"1681223226.808","1.024","0.103"
"1681223226.858","1.027","0.105"
"1681223226.908","1.023","0.105"
"1681223226.958","1.025","0.104"
"1681223227.008","1.025","0.103"
"1681223227.058","1.024","0.102"
"1681223227.108","1.028","0.102"
"1681223227.158","1.023","0.108"
"1681223227.208","1.024","0.103"
"1681223227.258","1.025","0.103"
"1681223227.308","1.024","0.104"
"1681223227.358","1.026","0.102"
"1681223227.408","1.023","0.100"
"1681223227.458","1.024","0.102"
"1681223227.508","1.022","0.104"
"1681223227.558","1.026","0.105"
"1681223227.608","1.023","0.105"
"1681223227.658","1.023","0.106"
"1681223227.708","1.024","0.102"
"1681223227.758","1.025","0.103"
"1681223227.808","1.025","0.104"
"1681223227.858","1.023","0.105"
"1681223227.908","1.023","0.102"
"1681223227.958","1.023","0.102"
"1681223228.008","1.023","0.103"
"1681223228.058","1.026","0.103"
"1681223228.108","1.026","0.104"
"1681223228.158","1.025","0.101"
"1681223228.208","1.023","0.106"
"1681223228.258","1.024","0.106"
"1681223228.308","1.023","0.108"
"1681223228.358","1.026","0.107"
"1681223228.408","1.017","0.107"
"1681223228.458","1.028","0.103"
"1681223228.508","1.023","0.105"
"1681223228.558","1.024","0.105"
"1681223228.608","1.021","0.108"
"1681223228.658","1.024","0.104"
"1681223228.708","1.025","0.104"
"1681223228.758","1.023","0.089"
"1681223228.808","1.026","0.104"
"1681223228.858","1.023","0.105"
"1681223228.908","1.026","0.105"
"1681223228.958","1.026","0.103"
"1681223229.008","1.022","0.105"
"1681223229.058","1.028","0.104"
"1681223229.108","1.022","0.099"
"1681223229.158","1.025","0.104"
"1681223229.208","1.023","0.105"
"1681223229.258","1.021","0.105"
"1681223229.308","1.022","0.101"
"1681223229.358","1.025","0.103"
"1681223229.408","1.022","0.104"
"1681223229.458","1.026","0.100"
"1681223229.508","1.023","0.099"
"1681223229.558","1.025","0.101"
"1681223229.608","1.024","0.104"
"1681223229.658","1.025","0.103"
"1681223229.708","1.026","0.103"
"1681223229.758","1.022","0.100"
"1681223229.808","1.027","0.103"
