Detec n° ;Filter n° ;Data n°  ;Prototype ;Sick ;Antenna ;Ratio 
1;1;1;293;299;22;714.90575
1;1;2;11;714;67;8.9792633
1;2;1;202;299;22;492.87017
1;2;2;37;714;67;30.202977
1;3;1;33;299;22;80.518395
1;3;2;0;714;67;0
1;4;1;241;299;22;588.02828
1;4;2;25;714;67;20.407417
1;5;1;362;299;22;883.26239
1;5;2;35;714;67;28.570383
1;6;1;593;299;22;1446.8912
1;6;2;63;714;67;51.42669
1;7;1;436;299;22;1063.8188
1;7;2;60;714;67;48.9778
1;8;1;235;299;22;573.38857
1;8;2;34;714;67;27.754087
1;9;1;315;299;22;768.58468
1;9;2;29;714;67;23.672603
1;1;1;14;299;22;34.159319
1;1;2;11;714;67;8.9792633
1;2;1;24;299;22;58.558832
1;2;2;37;714;67;30.202977
1;3;1;10;299;22;24.399514
1;3;2;0;714;67;0
1;4;1;19;299;22;46.359076
1;4;2;25;714;67;20.407417
1;5;1;18;299;22;43.919124
1;5;2;35;714;67;28.570383
1;6;1;33;299;22;80.518395
1;6;2;63;714;67;51.42669
1;7;1;26;299;22;63.438735
1;7;2;59;714;67;48.161503
1;8;1;17;299;22;41.479173
1;8;2;34;714;67;27.754087
1;9;1;19;299;22;46.359076
1;9;2;30;714;67;24.4889
1;1;1;59;299;22;143.95713
1;1;2;16;714;67;13.060747
1;2;1;46;299;22;112.23776
1;2;2;39;714;67;31.83557
1;3;1;27;299;22;65.878687
1;3;2;0;714;67;0
1;4;1;125;299;22;304.99392
1;4;2;14;714;67;11.428153
1;5;1;74;299;22;180.5564
1;5;2;15;714;67;12.24445
1;6;1;125;299;22;304.99392
1;6;2;55;714;67;44.896317
1;7;1;98;299;22;239.11523
1;7;2;46;714;67;37.549647
1;8;1;46;299;22;112.23776
1;8;2;19;714;67;15.509637
1;9;1;68;299;22;165.91669
1;9;2;31;714;67;25.305197
1;1;1;146;299;22;356.2329
1;1;2;9;714;67;7.34667
1;2;1;127;299;22;309.87382
1;2;2;40;714;67;32.651867
1;3;1;44;299;22;107.35786
1;3;2;30;714;67;24.4889
1;4;1;230;299;22;561.18881
1;4;2;59;714;67;48.161503
1;5;1;161;299;22;392.83217
1;5;2;48;714;67;39.18224
1;6;1;225;299;22;548.98905
1;6;2;61;714;67;49.794097
1;7;1;213;299;22;519.70964
1;7;2;70;714;67;57.140767
1;8;1;96;299;22;234.23533
1;8;2;35;714;67;28.570383
1;9;1;167;299;22;407.47188
1;9;2;40;714;67;32.651867
1;1;1;122;299;22;297.67407
1;1;2;11;714;67;8.9792633
1;2;1;13;299;22;31.719368
1;2;2;37;714;67;30.202977
1;3;1;0;299;22;0
1;3;2;0;714;67;0
1;4;1;5;299;22;12.199757
1;4;2;25;714;67;20.407417
1;5;1;7;299;22;17.079659
1;5;2;35;714;67;28.570383
1;6;1;343;299;22;836.90331
1;6;2;63;714;67;51.42669
1;7;1;22;299;22;53.67893
1;7;2;60;714;67;48.9778
1;8;1;67;299;22;163.47674
1;8;2;34;714;67;27.754087
1;9;1;4;299;22;9.7598054
1;9;2;29;714;67;23.672603
2;1;1;1426;15;15;9506.6667
2;1;2;71;40;40;177.5
2;2;1;1107;15;15;7380
2;2;2;155;40;40;387.5
